Unnamed: 0,comments,Service
757,Pourquoi vous ne donnez pas crédit aussi comme les autres,WAVE
758,"3 fois 50fr cest quoi le projet
Wave Côte d'Ivoire",WAVE
759,"Avec wave leurs cœurs bat plus fort
a vie",WAVE
760,La carte visa wave ce n’est pas pour tout le monde ou quoi tchie,WAVE
761,Avec wave notre joie est toujours d actualité,WAVE
762,"Avec wave la vie est vraiment simple !
Un devoir de reconnaissance envers vous !",WAVE
763,On attend la puce,WAVE
764,Moi j'ai crée déjà mon coffre mariage en même temps,WAVE
765,"Les cadeaux de wave ci devient très risqué
Maintenant c'est n'est par 1315 qui a appel les clients. Autre numéro inconnu.",WAVE
766,"Wave j'ai mes diplômes en informatique au complet ,j ai postulé dans mtn , orange moov : poto . comme je suis un fidèle client de Wave ,je vais voir si ils vont sortir dans dos",WAVE
767,"J’ai commencé à garder scolarité de mon enfant pour l’année prochaine j’espère que je vais tenir
mes 200f 500f je dépose laba",WAVE
768,"C'est la carte VISA de wave qui me préoccupe.
Je fais plus de 3 millions de transactions par mois sur wave mais j'ai pas eu la carte.
J'ai pratiquement toutes les cartes de paiement
Visa orange
Uba
Djamo.
Wizall",WAVE
769,Un grand merci merci à wave,WAVE
770,"En tout cas, depuis l'arrivé de WAVE je n'utilise plus mes autres compte. Le meilleur c'est le joli Pingouin.",WAVE
771,Hier même j'ai fait un paiement marchand ... Mais c'est comment ???,WAVE
772,Wave est propre,WAVE
773,En tout cas j'aime Wave,WAVE
774,Wave est le meilleur,WAVE
775,Achat d'unité c'est comment ??,WAVE
776,On peut envoyé Italie Ghana,WAVE
777,"Moi je suis déçu
scolarité de mon enfant est bloqué
J’suis à bout",WAVE
778,"J'avais un petit problème j'avais bougé un jour avec une petit j'avais pas beaucoup d'argent sur moi j'étais biza donc je commande on finir je veux payer un court je me rappelle que j'ai
Wave Côte d'Ivoire
je rentre dans l'app 15k henn je regarde les mon coffre fermé je regarde ma date d'ouvertures un court déverrouiller je paye tout depuis ce jour je sourire quand on parle de Wave",WAVE
779,"Bonsoir Wave
, merci infiniment pour le cadeau de 10k
. Je suis vraiment content de cette belle surprise
. Force à vous toujours
, Wave mon combat
.",WAVE
780,"Merci à lui, merci à Wave",WAVE
781,Merci beaucoup wave pour le service on attend maintenant la puce wave,WAVE
782,Bisous a wave,WAVE
783,"Mon pingouin adoré, que serions nous devenus sans toi. ""Fokolnan"" qui veut dire merci en Sénoufo. Laissez le boss profiter de ses cinq milles.",WAVE
784,Que serait ma vie sans Wave,WAVE
785,Comment épargner sur wave,WAVE
786,Si tu as reçu un message de Wave se matin alors sois saluer,WAVE
787,Donnez numéro du DG nous tous on va l’envoyer wave,WAVE
788,Nous sais wave qu'ont kiff,WAVE
789,Les comptes épargnes nous rapportent quoi?,WAVE
790,Wave votre merci ne va jamais finir,WAVE
791,"Wave Côte d'Ivoire
pour me donner jeton comme cadeau vous dite de payer carburant or vous savez que je n'ai pas voiture",WAVE
792,Moi depuis que vous êtes venus je suis toujours la avec vous j'ai fois en vous et je reste toujours wave. Que Dieu vous bénisse,WAVE
793,Wave faut créer puce maintenant,WAVE
794,Moi je fait achat par Wave mes rien le dernier étais 31800,WAVE
795,Vous aviez sauvé les ivoiriens nous on vous le dis,WAVE
796,"Bonjour, comment souscrire de mon compte wave en appel ou minutes ?",WAVE
797,Wave CI merci pour toujours,WAVE
798,Faut vérifier si le boss a reçu ces 5k,WAVE
799,Je n'ai pas encore la fonctionnalité d'avoir plusieurs coffre aidé moi,WAVE
800,en tout cas merci à wave grâce à l'option de créer plusieurs coffres j'épargne différemment.. jusqu'à j'ai coffre d'anniversaire même,WAVE
801,Le coffre WAVE est une véritable révolution pour l'épargne. J'ai ouvert plusieurs coffres sur chacun de mes comptes.,WAVE
802,Merci beaucoup à Wave CI je suis fière de lui qui a créé Wave je l'offre de litres de lait de vache,WAVE
803,Un coucou à tous les acteurs de wave CI .,WAVE
804,Moi je un très grand fanatique de votre réseau mais je voudrais savoir pourquoi vous ne faite pas de prêts,WAVE
805,"Wave, n'avez-vous pas une boîte à suggestions !
J'ai une suggestions qui me tient à cœur.",WAVE
806,Merci a vous,WAVE
807,"Wave Côte d'Ivoire
je n’ai pas encore ma carte prépayée",WAVE
808,Avec waav ya rien en face,WAVE
809,"Wave CI merci pour tout. Parmi les coffres, le coffre mariage ne figure pas !",WAVE
810,Vraiment nous sommes fière de vous,WAVE
811,Moi j'attends les prêts de wave,WAVE
812,"Revoyez votre service avec canal qui prélève des montants sans informé le concerné.
C'est du vo. déguisé",WAVE
813,Avec le coffre je peux différencier mes différents dépôts plus question d'utiliser l'argent et je ne sais plus chez qui et où j'ai pris merci wave,WAVE
814,Wave c’est les meilleures c’est tout.,WAVE
815,"Wave Côte d'Ivoire
je suis impatient pour la carte visa chaque jour je vérifie",WAVE
816,"Nous sommes super heureux d'utiliser wave. Vous êtes les meilleurs
Mais affaire où vous donnez bonus 50f et vous nous demandez d'aller à la station avant de prendre là, onh onh dêh",WAVE
817,"Wave Côte d'Ivoire
Jolie pingouin
, je voudrais savoir comment supprimer les numéros d’abonné (CIE-SODECI-CANAL) dans le mode paiement lorsqu'on en a plus besoin...",WAVE
818,Par tout avec wave,WAVE
819,"Moi on dirait je n'ai pas de chance hein, meme dans cadeau wave quand je gratte on met pas de chance
Wave Côte d'Ivoire",WAVE
820,"Bonjour
Wave Côte d'Ivoire
j’aimerais déplafonner mon compte pour les cadeaux comment s’y prendre s’il vous plaît ?",WAVE
821,"J'ai créé 10 coffres
pépites owww",WAVE
822,"Moi je veux que le système d'épargne soit automatique. Je veux pouvoir planifier mon épargne de tel sorte que le système prélève directement la somme que je veux épargner à chaque fois que j'ai de l'argent sur mon compte. C'est là ma proposition.
Par exemple: par jour, par semaine ou par mois.",WAVE
823,Où est située la direction du pingouin,WAVE
824,"Bonjour wave CI , j'adore tout de vous j'aimerais bien y travailler svp",WAVE
825,"J’ai une idée pour encourager l’épargne chez vos clients :
1 Coffre Objectif : le client fixe un montant à atteindre et ne peut retirer l’argent que lorsqu’il est atteint.
2 Coffre Date Bloquée : le client dépose une somme et choisit une date de retrait ; avant cette date, aucun retrait n’est possible, même via le service client.
Ces coffres aideraient vos clients à mieux épargner et pourraient renforcer la fidélité tout en augmentant le volume d’argent sur vos comptes.
Qu’en pensez-vous ?",WAVE
826,"Wave Côte d'Ivoire
merci de penser a intégrer aussi des coffres dans wave business . C'est une finalité qui va nous rendre assez de services",WAVE
827,Affaire de 100frs la c est comment ? J espère que wave n est pas dedans hein,WAVE
828,Merci beaucoup wave côté ivoire pour le service sa ressette le puce wave,WAVE
829,J'ai appris que que wave.com côte d'ivoire va faire un communiqué d'ici ce 30 septembre concernant l'achat d'internet et appel ? Est-ce que c'est vrai ça !?,WAVE
830,"Pensé à la république de Guinée
aussi merci
d'avance",WAVE
831,boujour wave je voudrais avoir ma carte visa wave svp sa fait longtemps que j'attend,WAVE
832,Je suis en attente de ma carte visa et de mes cadeaux,WAVE
833,Grâce à wave j'arrive à économiser chaque jour,WAVE
834,"Maintenant je n’ai plus besoin de mettre l’argent dans ma poche pour sortir et pourtant je vais partout,
juste avec mon téléphone et mon application,mes parcours sont géré",WAVE
835,On as besoin de wave ici au Congo Brazzaville,WAVE
836,Merci en attendant la carte visa et mon kiff ultime serait la possibilité d’avoir des coffres rémunérés,WAVE
837,"Avec wave côte d'ivoire, fini les palabres de monnaie et c'est toujours wave qui fait mieux.",WAVE
838,Je veux un prêt wave je fais comment pour l'avoir,WAVE
839,Wave c'est comment pour les prêt,WAVE
840,Et l'affaire d'acheter unités avec wave c'est comment artci dit quoi?,WAVE
841,"WAVE C'est super rapide , simple et très fiable ... Je like",WAVE
842,Moi en ce moment,WAVE
843,Je vous envoie plein de messages en inbox personne ne me répond,WAVE
844,Vraiment merci beaucoup à vous famille,WAVE
845,Moi aussi je cherche cette carte la,WAVE
846,Ma carte virtuelle... Mon combat,WAVE
847,"Quelle sont les conditions pour avoir une cart sur
Wave Côte d'Ivoire",WAVE
848,"Coucou
Wave Côte d'Ivoire
svp il faut adhérer à quelle confrérie pour avoir la carte visa ? Parce que c'est moi seul je n'ai rien reçu hein.",WAVE
849,Ça va chauffer,WAVE
850,On veut on deuxième CM madrilène,WAVE
851,"Tu peux revenir au Bénin
Wave Côte d'Ivoire",WAVE
852,"Wave Côte d'Ivoire
merci pour plusieurs coffrets ajoutés à notre application.
J'ai même renommé un 'pari en ligne '",WAVE
853,Très bien,WAVE
854,"Courage
wave. Mais ça ne sera pas facile. Mais ça reste très possible. La lutte continue et bonne chance wave.",WAVE
855,Nous avons besoin de vous à issia svp,WAVE
856,Wahi wave est fort,WAVE
857,Vous avez oublier arachide hyn,WAVE
858,"Carte visa et puce, à part ça le pingouin
est fantabolistiquement formidable",WAVE
859,Trop rapide comme Lucky Luke,WAVE
860,"Wave Côte d'Ivoire
carte visa est sorti avant mise à jour de coffre là mais j'ai eu pour coffre là mais depuis carte visa n'a pas encore fini de faire son déploiement eehh",WAVE
861,"Mon Paingouin est à l’agonie faites quelque chose CM, c’est une histoire de pandaison monétaire…",WAVE
862,3 1 pour PSG,WAVE
863,"C’est cadeau, nous on attend ho",WAVE
864,"C’est faux ton salaire est fini
Ahi",WAVE
865,"Wave vous êtes les meilleurs tchia vous m’avez submergé de bonheur ce matin
Mon merci finira pas envers vous
Vous êtes trooooopppppp formidables
Et félicitations
encore pour cette belle initiative",WAVE
866,"Le pingouin
j'ai une chanson pour vous hien je suis en studio actuellement.",WAVE
867,Je veux crédit,WAVE
868,"Wave Côte d'Ivoire
le meilleur des meilleurs",WAVE
869,Plus d’excuse pour ne plus acheter les bananes de nos chics et courageuses mamans,WAVE
870,"Mon Jour de Gloire a sonné , Merci wave",WAVE
871,Super on bouge fort,WAVE
872,Le peuple ivoirien attend impatiemment une puce wave pour couronner le travail déjà abattu,WAVE
873,Wave joue ballon maintenant. Réfléchir comment fouetter orange pour qu'on puisse acheter unité via wave,WAVE
874,"Dja wave est barcelonais
Depuis hier j’arrive pas à digérer ça",WAVE
875,Le haut niveau.,WAVE
876,Haa baby c'est wave on supporte,WAVE
877,"Ah
.
Wave et moi c'est une histoire d'amour puisque nous sommes tous deux Barcelonais",WAVE
878,Très belle,WAVE
879,Merci pour la carte virtuel,WAVE
880,"Wave c'est le haut niveau j'ai une chanson pour vous,restez connecté",WAVE
881,Vous nous sauver la vien,WAVE
882,Pourquoi on arrive pas à payer la cotisation CMU via wave,WAVE
883,Les maîtres de la vulgarisation du paiement électroniques,WAVE
884,Wave c'est le meilleur,WAVE
885,"C'est ça qui est ça !
Wave Côte d'Ivoire
toujours",WAVE
886,Femme claire qui a cùi noir c'est tchatcholi,WAVE
887,"Wave Côte d'Ivoire
nos puces sont où",WAVE
888,J'ai pas reçu mn cadeau,WAVE
889,"Y'a LALA MM j'imagine que Wave viens cher moi et je vais leur donné de l'eau plus ma jeune fille ou fils il mon fait trop beaucoup de bien avec un repas en plus y'a je vais gagner 10 k aussi hein
Wave Côte d'Ivoire",WAVE
890,Avec wave Côte d'Ivoire on senjalle,WAVE
891,On a tué ça,WAVE
892,Je veux aussi pour mon commerce,WAVE
893,Active carte de l'homme c'est tout ce qu'on veux !!!,WAVE
894,"Bonjour Wave ! S'il te plaît, je voudrais savoir si tous les coffres, scolarité, épargne, loyer... existent vraiment ou c'est une imagination de nous les consommateurs? J'ai consulté mais je n'ai rien vu. C'est pourquoi je demande.",WAVE
895,J’ai pas encore reçu ma carte,WAVE
896,Victoire Barça plus 2 bus dans le match,WAVE
897,Ont n'est ensemble wave,WAVE
898,"Djo il faut bien manger le pingouin la va grossir. Tu donnes pas bon bonus, encore pour manger c'est problème !",WAVE
899,Je veux pour moi comment faire j'ai appelé le service client rien,WAVE
900,On ne va pas bien on veut prêt.,WAVE
901,Wave actuellement vous avez un souci ou bien on fait un payement marchand mais ça va chez quelqu'un d'autre je comprends pas,WAVE
902,Je n es pas ma carte,WAVE
903,"J'ai plus de mots pour vous dire merci, donc je pompe Les",WAVE
904,Vp j'ai côte 10 sûr pour toi hein,WAVE
905,Le problème est que lorsqu'on Appel que de débloquer le coffre vous le faites arrêté ça . Laisser jusqu'aux dates précis,WAVE
906,Carte visa pour avoir pour vous la on doit être millionnaire ub tchaiiiii si on peut payer les wé avec pourquoi vous envoyer et laisser les autres,WAVE
907,Vous etes les meilleurs,WAVE
908,Ah wave tu es fort même dans banane braisé encore ya wave,WAVE
909,J ai pas ma carte aussi,WAVE
910,Comment fait pour avoir un compte commercial,WAVE
911,"Une anecdote : pendant l’installation de
Wave Côte d'Ivoire
dans notre pays, je n’aimais absolument pas cette application parce que je la trouvais louche, mais au fur et à mesure, je me suis adapté et maintenant toutes mes transactions s’effectuent via cette application. J’ai banni toutes les autres plateformes. Vous êtes les meilleurs",WAVE
912,Force et courage à vous,WAVE
913,Nous on arrive dans dos,WAVE
914,"J’ai toujours pas reçu la carte visa et les différents coffres
Wave Côte d'Ivoire",WAVE
915,"Wave Côte d'Ivoire
donc nous on à pas droit à ça aussi quoi ?",WAVE
916,Votre wattsap je trouve plus,WAVE
917,"CM de
Wave Côte d'Ivoire
pardon mon pingouin est grièvement blessé
entre CM y'a pas trahison",WAVE
918,"Wave Côte d'Ivoire
le faite d'être patient pour la carte
visa je commence à me décourager",WAVE
919,Vraiment merci à wave Côte d'Ivoire. Vous nous avez vraiment facilité la Vie.,WAVE
920,Qui doit jouer ?,WAVE
921,"Dja Wave est Barcelonais
hier je voulais supprimer mon compte Wave
yai Vu ka cause de wave je mange Garba chaque jour donc yai laisse tomber",WAVE
922,"Wave Côte d'Ivoire
jai acheter une puce j'ai pas créé compte dessus mais je reçois un dépôt je veux me connecter on me dit j'ai déjà un compte",WAVE
923,Merci d’avoir donné un autre visage au service mobile money en Côte d’Ivoire,WAVE
924,Merci wave c'est mieux,WAVE
925,Je suis deja riche papa,WAVE
926,"Wahiiiiiiiiii, Wave laisse pas hein...",WAVE
927,Fait wave,WAVE
928,Franchement Bravo,WAVE
929,Wave les meilleurs,WAVE
930,"Même au djandjoudrome on peut payer par
Wave Côte d'Ivoire
.. respect",WAVE
931,C'est trop top,WAVE
932,"Wave Côte d'Ivoire
vous bont. Mais affaires de carte bancaire là c'est comment depuis c'est un poignée de personnes qui en bénéficient et nous autres. Ça c'est discrimination hein.",WAVE
933,Quand #wave côte d'ivoire# vas donner prêt,WAVE
934,Svp bonus alimentaire la sa compte au garbadrome ou c'est au supermarché seulement,WAVE
935,À quand ma carte wave côte d'Ivoire ? Donc c'est moi seul je vais pas avoir quoi? Je suis découragé même. Genre pour vous là c'est en famille vous gérer,WAVE
936,Tranquille,WAVE
937,Cher collègue je souhaite échanger avec vous,WAVE
938,"J'espère que tu as pris celle du milieu avec un peu brûlure là hein car je sens son odeur parfaite ici derrière mon téléphone.
Wave Côte d'Ivoire
sinon mon club gagne 2- 0 aujourd'hui",WAVE
939,"Wave Côte d'Ivoire
j’ai eu ma carte hein , je vous ai trop accéléré",WAVE
940,Je veux faire mon wave business à distance c’est possible ?,WAVE
941,Merci wave vous êtes numéro 1 je suis toujours avec vous depuis le commencement je suis avec vous je serai avec vous j'ai quand la fin de mes jours,WAVE
942,Même les vendeurs en bullant ont pour eux,WAVE
943,J’aime wave,WAVE
944,Pour envoyer carte Visa on naka vous demander pardon quoi,WAVE
945,Aya de wave mange pas banane,WAVE
946,Wave coffre tontine ça se passe comment,WAVE
947,"Bonjour wave, et affaire de plusieurs coffres là ?",WAVE
948,Même si jous êtes Barcelonnais et que les autres sont Madrilène je suis avec vous,WAVE
949,"> ""CM mange pour nous aussi
. Moi je dis, que le meilleur gagne ce soir",WAVE
950,"Wave Côte d'Ivoire
ma carte la n'es pas encore activé hein, pourtant je fais mes paiements de produits chez
Is Market
.donc ma carte svp.",WAVE
951,"Wave Côte d'Ivoire
vous voulez boire quoi?
Je me réveille avec de nouvelles fonctionnalités. Ah ouais j'ai trop aimé. Vraiment vous méritez un casier de Drogba",WAVE
952,Terminé hein au quartier nous c’est Wave on utilise hein,WAVE
953,Tranquille quoi,WAVE
954,"Wave Côte d'Ivoire
, s'il vous plaît à quand ma visa card ???",WAVE
955,"Wave Côte d'Ivoire
svp j'attends ma Carte Visa avec impatience",WAVE
956,"Mot de remerciement
Je tiens à exprimer ma profonde gratitude à toute l’équipe de Wave pour le généreux don de la carte Visa gratuite. Ce geste témoigne de votre engagement à soutenir vos utilisateurs et facilite grandement nos transactions au quotidien. Votre aide précieuse est une véritable source de soulagement et d’encouragement.
Merci encore pour votre solidarité et votre confiance.
Avec toute ma reconnaissance,",WAVE
957,"Wave vous serez au Bénin quand ?
Je suis disponible pour discuter affaire.",WAVE
958,Nous voulons que vous mettiez en place le service de prêt,WAVE
959,Wave Côte d’Ivoire :ma carte visa,WAVE
960,"Wave merci beaucoup pour la
CARTE VISA
Ajouter à mon compte
J'avais vraiment besoin de ça pour mes achats en ligne,
Wave Côte d'Ivoire",WAVE
961,On veut la carte wave,WAVE
962,"Moi j'aime bien
Wave Côte d'Ivoire
et félicitations à eux. Mais qu'ils revoient le wave business là, le cota est plafonné à 20.000f passé ça les frais s'ajoutent. On explique aux clients rien.
Je suggère qu'ils plafonnent ça à 50.000f ou 100.000f
C'est ma doléance.",WAVE
963,Svp et sgbci,WAVE
964,"Wave Côte d'Ivoire
j'ai reçu ma carte visa merci beaucoup,mais une questions avec la carte là est-ce que c'est internationale.",WAVE
965,Merci wave j ai enfin ma carte visa.,WAVE
966,Wave d'abord,WAVE
967,"Je dis oh, vous ne partez à nsia banque aussi ou bien !",WAVE
968,Voyez nous un peux nous de NSIA,WAVE
969,"Wave Côte d'Ivoire Merci beaucoup
Ma carte Visa est maintenant disponible
On est ensemble",WAVE
970,"Wave Côte d'Ivoire
j'ai été facturé à 200f pour frais de réabonnement à canal plus. Pourquoi on n'a pas été informé au préalable que des frais s'appliquerait au paiement canal ?",WAVE
971,A quand les coopecs wave svp,WAVE
972,#wave ci le premier transfert gratuit du mois concerne aussi le premier transfert du mois du compte wave vers le compte bancaire ?,WAVE
973,"Wave Côte d'Ivoire
pardonnez je veux carte visa",WAVE
974,Nsia même c'est pas la peine...pfff,WAVE
975,"Si j'étais femme j'allais donner un coup gratuit à Wave, wallaye vous êtes les meilleurs. Je suis fan jusqu'à je ne sais pas quoi faire.
Wave Côte d'Ivoire",WAVE
976,"Wave Côte d'Ivoire
Wave Côte d'Ivoire ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank ecobank",WAVE
977,Merci Wave côte d'ivoire mes svp n'oubliez notres cartes prépayée visa là,WAVE
978,"Wave Côte d'Ivoire
j'attends toujours ma carte",WAVE
979,"Super
Wave Côte d'Ivoire
Guaranty Trust Bank - Côte D'Ivoire
mon combat oh",WAVE
980,"Franchement, la patience a une limite; la semaine prochaine je vais prendre une carte ailleurs en attendant l'activation de la vôtre.
J’en ai marre d’attendre je suis désolé
Wave Côte d'Ivoire",WAVE
981,"NSIA Banque Côte d'Ivoire
de parler oubien vous finissez 1 pain ?",WAVE
982,Il y a quoi avec NSIA même ? Ahhh,WAVE
983,Super ce wave,WAVE
984,Comment faire pour avoir sa carte Visa,WAVE
985,À quand ma victoire avec GT BANK,WAVE
986,"Bank Of Africa - Côte d’Ivoire
vous attendez quoi ?",WAVE
987,"Wave mon merci ne vas jamais fini
vous
Svp dit à votre CEO de se présenter à l’élection présidentielle je voterai pour lui",WAVE
988,Mettez SGBCI sur WAWe svp,WAVE
989,Et SGBCI là,WAVE
990,Quelle est l'avantage de la carte visa wave par rapport aux autres,WAVE
991,Et Nsia banque?,WAVE
992,À quand BOA? eeeh wave pardon.,WAVE
993,"Wave Côte d'Ivoire
et ma carte visa ?",WAVE
994,"Wave Côte d'Ivoire
pardonnez dites aux taximan que 200 pièce et 200 sur wave c'est pareil",WAVE
995,"Wave Côte d'Ivoire
et NSIA BANQUE",WAVE
996,"Ecobank Côte d'Ivoire
c'est lent depuis là ont vous attend ?",WAVE
997,Wave et ma carte,WAVE
998,On vous attend chez nsia.,WAVE
999,"Je donne 3 mois à
NSIA Banque Côte d'Ivoire
pour suivre le chemin tracé par les autres banques sinon hummmmmmmmml!",WAVE
1000,On attend pour SGBCI avec beaucoup d'impatience,WAVE
1001,"Wave Côte d'Ivoire
est-ce que
Société Générale Côte d’Ivoire
a djôh dans ton inbox même ??? On nous dit votre discussion est en cours depuis bientôt 24 mois",WAVE
1002,Carte visa,WAVE
1003,Salut comment faire pour être distributeur wave en Côte d'Ivoire ?,WAVE
1004,"Wave Côte d'Ivoire
affaire de carte Visa wave là c'est comment ? Depuis là rien dans mon applis, progressivement là devient comme l'arrivée de Jésus hinn",WAVE
1005,"Côté carte visa là, je suis pas dedans aussi ?",WAVE
1006,A quand pour Nsia,WAVE
1007,"Wave avec vous, nous serons encore plus fidèles plus que jamais parce que grâce à vous ne sommes plus être en train d’être cueilli. Bref je suis en attente de ma carte visa.",WAVE
1008,Bridge Bank Group Côte d'Ivoire,WAVE
1009,Je veux m'inscrire,WAVE
1010,"Wave Côte d'Ivoire
affaire de carte visa wave je voir pas pour moi alors que mon voisin en a goumin de ça j’arrive pas à manger",WAVE
1011,Le réseau wave n'es pas bon actuellement souvent ça passe et souvent ça ne passe pas. Je préfère orange toujours !!!,WAVE
1012,"Wave ma carte bancaire ?
Epuis merci pour les différentes options dans le coffre wave ça me permet d’économiser mon argent de la la manière je veux",WAVE
1013,Affaire de carte visa là c'est comment ?,WAVE
1014,"Wave Côte d'Ivoire
PARDONNEZ DONNER MA CARTE VISA AAAH",WAVE
1015,"NSIA BANQUE, NSIA BANQUE, NSIA BANQUE.
Wave Côte d'Ivoire
il faut voir ce cas",WAVE
1016,"C'est SGCI que j'attends sur
Wave Côte d'Ivoire
comme ça.",WAVE
1017,Permettez moi d’être agent svp j'ai tous les réseaux sauf wave aidez-moi svp merci,WAVE
1018,"Wawe Côte d ivoire svp , j attends ma carte visa.",WAVE
1019,"Wave Côte d'Ivoire
merci 91eme niveau 2875f",WAVE
1020,Comment faire pour obtenir la carte visa?,WAVE
1021,Wave côte d'ivoire ce mois de septembre est mon mois d'anniversaire (20 septembre ) j'ai un voeux et c'est de travailler pour vous je suis trop amoureuse de wave ci . J'ai plusieurs fois geré des points mobil monney wave . Je voulais postuler sur votre site mais J'ai pas licence ho c'est bac +1 J'ai. Merci de me lire .,WAVE
1022,On attends pour SGBCI,WAVE
1023,"Wave Côte d'Ivoire
c’est comment moi j’ai pas encore
de carte virtuelle ehhh",WAVE
1024,"Tu es super wave, on attend les autres banques (BOA SGB...).",WAVE
1025,Sib sib sib dib on a besoin de SIB bank eeeeehh,WAVE
1026,Mais pourquoi SGBCI n'es pas sur votre application svp,WAVE
1027,"Wave Côte d'Ivoire
Depuis là ma carte n'est pas encore sortie hyn ...
Kessia même ?? Hennn",WAVE
1028,Et bridge bank ?,WAVE
1029,NSIA Banque côte d'ivoire Oooh vous attends quoi pour faire pareil,WAVE
1030,Faites un effort pour ajouter la société générale Côte d'Ivoire.,WAVE
1031,Vous attentez quoi pour NSIA ?,WAVE
1032,"Wave Côte d'Ivoire
merci beaucoup pour le cadeau
d’hier
J’étais en galère, j’avais 2k sur mon compte et je suis allé à la pharmacie acheter un médicament et bimm je vois
Félicitations vous avez reçu un cadeau
.
Je rentre et je gratte je vois vous avez gagné 10k
Merci beaucoup",WAVE
1033,Et nsia,WAVE
1034,Cmt faire pour télécharger le nouveau format épargne ?,WAVE
1035,"Vieux père wave, la carte virtuelle va être disponible quand pour nous?",WAVE
1036,Wave trop fort,WAVE
1037,Eeeh Sgbci quoi,WAVE
1038,Il reste NSIA,WAVE
1039,A quand pour la SGBCI,WAVE
1040,SGBCI svp,WAVE
1041,Svp diminuer les frais de l'abonnement canal+,WAVE
1042,J'ai pas encore eu ma carte visa,WAVE
1043,"Wave Côte d'Ivoire
laissez affaire de banque là a côté
Chaque 30 min je vérifie pour voir si Visa s affiche mais toujours kedal",WAVE
1044,"Wave wave wave je te vois venir
Les guichets automatiques risquent de disparaitre on dirait
Tchiéééééééé ça sera doux dêh",WAVE
1045,Es ce que je peux faire aussi ?,WAVE
1046,"Wave Côte d'Ivoire
essayer d’ajouter GT-BANK aussi à vos banque ça va nous faciliter à nous les clients svp merci",WAVE
1047,Ont veux aussi entre wave Bank Of Afrca ( BOA),WAVE
1048,AFRILAND FIRST BANK on attends toujours hein.,WAVE
1049,Pourquoi vous ne décrocher mes appels ?,WAVE
1050,Vraiment merci a wave ci,WAVE
1051,Wave ox et ma carte visa la c'est ça j'attends depuis la inn merci je vous aime,WAVE
1052,Merci de nous avoir enlevé de la main du lion,WAVE
1053,Nous en attendons plus encore de vous ! Vous avez apporté un souffle nouveau au paysage money transfert et nous espérons vous voir pourquoi pas dans le système bancaire ivoirien qui est devenu obsolète fasse aux véritables besoins des jeunes entrepreneurs que nous sommes. Notre climat bancaire n'est pas du tout favorable à l'éclosion de champions nationaux et c'est bien dommage. Nous luttons et espérons qu'un jour une offre audacieuse comme la vôtre viendra décrispé notre paysage bancaire par des solutions porté sur la viabilité des projets et non les garanties de remboursement. Merci Wave Côte d’Ivoire,WAVE
1054,Vraiment merci wave,WAVE
1055,Merci à vous aussi,WAVE
1056,"Les cadeaux qu'on gagne lorsqu'on fait un paiement via wave, si je vous ai fait quelque chose, pardonnez-moi.
Je suis fatiguée de 50 frs, pourtant je suis à l'étape 40.
Je vous demande merci",WAVE
1057,"Grâce à vous nous sommes en sécurité avec notre argent merci de nous avoir sauvé merci beaucoup
soyez toujours béni depuis votre position. AMEN",WAVE
1058,"Vous êtes en train de crier ma carte ma carte là
On espère que c'est pas juste pour faire genre hein
Comme ça apparaît chez ton collègue tu veux forcément pour toi aussi
Wave Côte d'Ivoire
dit de patienter
Continue d'utiliser ton ancienne carte Visa en attendant pour wave",WAVE
1059,Svp la carte visa virtuel sert à faire quoi ?,WAVE
1060,Il reste puce l'eau et courant merci,WAVE
1061,A cause de Wave je pleure de joie. Merci merci merciiiiiii. Vous êtes nos sauveurs,WAVE
1062,"Les problèmes que les voisins disaient impossible de régler ko vient à l'agence ( tu vas le matin pour revenir le soir) wave te regle sa en un lap de tps et au téléphone
. Merci pour tout.",WAVE
1063,"Bonsoir à la direction de wave Côte d'Ivoire depuis je ne reçois pas ma carte
visa prépayé wave dans l'appli wave je vous demande de faire cela s'il vous plaît.",WAVE
1064,Merci a Wave,WAVE
1065,"Ma carte est tombée, Au-revoir Djamo. Sans frais aller retour.
Merci Waveeee!!!!!!",WAVE
1066,"Wave, merci",WAVE
1067,Wave sort toujours dans dos merci pour ma carte virtuelle,WAVE
1068,Merci aussi wave CI,WAVE
1069,"Merci infiniment, que Dieu continu de bénir et de faire rayonner davantage votre entreprise",WAVE
1070,"Infiniment merci
Wave Côte d'Ivoire
pour ma carte
virtuelle.
Comme on le dit : la patience paye toujours",WAVE
1071,Moi même je suis propriétaire de wave tellement cette application me facilite mes transactions... merci toujours,WAVE
1072,Merci infiniment,WAVE
1073,Mais je ne comprends pas pourquoi vous avez ajouté 200fr comme frais de paiement sur l'abonnement canal + sans nous informer hein . Au moins merci infiniment à vous,WAVE
1074,On veut notre carte visa aussi,WAVE
1075,Merci à wave... grâce à vous nous on fait des payements électronique dans tous les coins du pays plus affaires de ya pas monaie...,WAVE
1076,Merci wave matin midi soir,WAVE
1077,Merci pour la carte Visa,WAVE
1078,Nous vous disons merci wave ci,WAVE
